IncidentNumber,Latitude,Longitude,ApproximateVolumeM3,ReportedDate,ReportedYear,IncidentType_EN_LIST,IncidentStatus_EN,CompanyName_EN,NearestPopulationCenter_EN,ProvinceName_EN,SubstanceName_EN,ReleaseType_EN,PipelinePhase_EN,WerePipelineSystemComponentsInvolved,PipelineComponent_EN_LIST,WhatHappened_EN_LIST,WhyItHappened_EN_LIST
INC2016-124,56.47138904,-122.11370889,529960.0000,2016-10-20T00:00:00,2016,Release of Substance,Closed,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",wonowon,British Columbia,Natural Gas - Sweet,Gas,Operation,Yes,Compression,Incorrect Operation,"Engineering and Planning,Maintenance"
INC2016-122,51.870752,-109.034275,Not Applicable,2016-10-15T00:00:00,2016,Fire,Closed,Enbridge Pipelines Inc.,Town of Kerrobert,Saskatchewan,Not applicable,Not applicable,Operation,Yes,Compression,Equipment Failure,Maintenance
INC2016-121,48.870172,-88.458775,0.0010,2016-10-14T00:00:00,2016,Release of Substance,Initially Submitted,TransCanada PipeLines Limited,"Hurkett, ON",Ontario,Natural Gas - Sweet,Gas,Maintenance,Yes,Pipeline,To be determined,To be determined
INC2016-120,51.599421,-114.244235,342.0000,2016-10-07T00:00:00,2016,Release of Substance,Closed,NOVA Gas Transmission Ltd.,Didsbury,Alberta,Natural Gas - Sweet,Gas,Maintenance,Yes,Compression,Equipment Failure,Maintenance
INC2016-119,51.836784,-121.511133,448.0000,2016-10-03T00:00:00,2016,Release of Substance,Submitted,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Lac La Hache,British Columbia,Natural Gas - Sweet,Gas,Operation,Yes,Pipeline,Corrosion and Cracking,Engineering and Planning
INC2016-118,52.72947567,-122.44197649,16645.0000,2016-09-28T00:00:00,2016,Release of Substance,Closed,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Quesnel,British Columbia,Natural Gas - Sweet,Gas,Operation,Yes,Compression,Incorrect Operation,Maintenance
INC2016-117,43.383581,-79.752363,Not Applicable,2016-09-28T00:00:00,2016,"Fire,Serious Injury (CER or TSB)",Closed,Trans-Northern Pipelines Inc.,Burlington,Ontario,Not applicable,Not applicable,Maintenance,No,Not Available,"External Interference,Incorrect Operation","Human Factors,Tools and Equipment"
INC2016-116,54.830119,-118.646961,Not Applicable,2016-09-26T00:00:00,2016,Operation Beyond Design Limits,Submitted,NOVA Gas Transmission Ltd.,"Grande Prairie, AB",Alberta,Not applicable,Not applicable,Operation,Yes,Compression,"External Interference,Other Causes","Engineering and Planning,Tools and Equipment"
INC2016-115,52.63822644,-111.27864571,0.0001,2016-09-22T00:00:00,2016,Release of Substance,Closed,Enbridge Pipelines Inc.,Hardisty Alberta,Alberta,Natural Gas Liquids,Gas,Operation,Yes,Pumping,Equipment Failure,Tools and Equipment
INC2016-113,50.679196,-109.981615,Not Applicable,2016-09-18T00:00:00,2016,Fire,Closed,TransCanada PipeLines Limited,"Burstall, SK",Saskatchewan,Not applicable,Not applicable,Maintenance,Yes,Pipeline,External Interference,Maintenance
INC2016-112,55.069302,-114.442254,Not Applicable,2016-09-16T00:00:00,2016,Operation Beyond Design Limits,Submitted,NOVA Gas Transmission Ltd.,"Chisholm, AB",Alberta,Not applicable,Not applicable,Operation,Yes,Compression,"External Interference,Incorrect Operation",Tools and Equipment
INC2016-110,56.14356248,-120.6685897,52.0000,2016-09-12T00:00:00,2016,Release of Substance,Closed,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Taylor,British Columbia,Natural Gas - Sweet,Gas,Operation,Yes,Pipeline,Equipment Failure,Maintenance
INC2016-109,55.55101914,-122.45387594,113.5500,2016-09-12T00:00:00,2016,Release of Substance,Closed,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Chetwynd,British Columbia,Natural Gas - Sweet,Gas,Operation,Yes,Pipeline,"Equipment Failure,Incorrect Operation",Maintenance
INC2016-108,55.55101914,-122.45387594,113.5500,2016-09-06T00:00:00,2016,Release of Substance,Closed,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Willow Flats,British Columbia,Natural Gas - Sweet,Gas,Maintenance,No,Not Available,"Equipment Failure,Incorrect Operation",Maintenance
INC2016-107,49.443028,-91.714439,0.0010,2016-09-04T00:00:00,2016,Release of Substance,Initially Submitted,TransCanada PipeLines Limited,"Ignace, Ontario",Ontario,Natural Gas - Sweet,Gas,Maintenance,Yes,Pipeline,To be determined,To be determined
INC2016-106,51.3531,-106.9799,Not Applicable,2016-09-02T00:00:00,2016,Operation Beyond Design Limits,Closed,Enbridge Pipelines Inc.,"Outlook, SK",Saskatchewan,Not applicable,Not applicable,Maintenance,Yes,Pipeline,Natural Force Damage,Natural or Environmental Forces
INC2016-105,49.72011504,-96.98386154,0.1150,2016-09-01T00:00:00,2016,Release of Substance,Closed,TransCanada PipeLines Limited,Ile des Chenes,Manitoba,Lube Oil,Liquid,Operation,Yes,Compression,Corrosion and Cracking,Maintenance
INC2016-104,54.830119,-118.646961,Not Applicable,2016-08-30T00:00:00,2016,Operation Beyond Design Limits,Submitted,NOVA Gas Transmission Ltd.,"Grande Prairie, Alberta",Alberta,Not applicable,Not applicable,Operation,No,Not Available,Other Causes,Engineering and Planning
INC2016-103,50.696946,-111.53471,1.5000,2016-08-29T00:00:00,2016,Release of Substance,Closed,NOVA Gas Transmission Ltd.,"Patricia, Alberta",Alberta,Lube Oil,Liquid,Operation,Yes,"Compression,Pipeline",Corrosion and Cracking,Engineering and Planning
INC2016-102,46.655465,-79.710737,Not Applicable,2016-08-29T00:00:00,2016,Fire,Closed,TransCanada PipeLines Limited,"Marten River, Ontario",Ontario,Not applicable,Not applicable,Construction,Yes,Vehicle / mobile equipment,"External Interference,Incorrect Operation",Maintenance
INC2016-101,54.972665,-114.291775,Not Applicable,2016-08-29T00:00:00,2016,Operation Beyond Design Limits,Submitted,NOVA Gas Transmission Ltd.,"Chisholm, Alberta",Alberta,Not applicable,Not applicable,Operation,Yes,Compression,"Incorrect Operation,Other Causes","Engineering and Planning,Maintenance"
INC2016-100,51.939713,-112.073701,Not Applicable,2016-08-25T00:00:00,2016,Operation Beyond Design Limits,Submitted,NOVA Gas Transmission Ltd.,"Endiang, Alberta",Alberta,Not applicable,Not applicable,Maintenance,Yes,Pipeline,Incorrect Operation,Tools and Equipment
INC2016-099,56.592508,-121.751213,Not Applicable,2016-08-25T00:00:00,2016,Adverse Environmental Effects,Closed,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Fort St. John,British Columbia,Not applicable,Not applicable,Construction,No,Not Available,Other Causes,Natural or Environmental Forces
INC2016-098,54.09508652,-112.30584934,Not Applicable,2016-08-25T00:00:00,2016,Fire,Closed,NOVA Gas Transmission Ltd.,"Smoky Lake, AB",Alberta,Not applicable,Not applicable,Operation,Yes,Compression,External Interference,Tools and Equipment
INC2016-097,53.54740268,-113.35571374,0.0001,2016-08-25T00:00:00,2016,Release of Substance,Closed,Enbridge Pipelines Inc.,Sherwood Park,Alberta,Natural Gas Liquids,Gas,Operation,Yes,Pipeline,Incorrect Operation,"Failure in communication,Human Factors"
INC2016-096,49.26848937,-122.93134198,Not Applicable,2016-08-24T00:00:00,2016,Fire,Closed,Trans Mountain Pipeline ULC,Burnaby,British Columbia,Not applicable,Not applicable,Maintenance,No,Not Available,"External Interference,Incorrect Operation","Human Factors,Inadequate Supervision"
INC2016-095,49.487583,-121.183421,Not Applicable,2016-08-24T00:00:00,2016,Fire,Closed,Trans Mountain Pipeline ULC,Hope,British Columbia,Not applicable,Not applicable,Maintenance,Yes,Vehicle / mobile equipment,External Interference,Maintenance
INC2016-093,53.10047466,-115.36423859,Not Applicable,2016-08-14T00:00:00,2016,Fire,Closed,NOVA Gas Transmission Ltd.,"Lodgepole ,AB",Alberta,Not applicable,Not applicable,Construction,No,Not Available,"External Interference,Incorrect Operation","Failure in communication,Human Factors,Maintenance,Standards and Procedures,Tools and Equipment"
INC2016-091,57.34,-111.68,Not Applicable,2016-08-13T00:00:00,2016,Fire,Closed,NOVA Gas Transmission Ltd.,"Fort McKay, AB",Alberta,Not applicable,Not applicable,Construction,No,Not Available,"External Interference,Incorrect Operation",Tools and Equipment
INC2016-090,55.56909171,-121.94466164,578.0000,2016-08-11T00:00:00,2016,Release of Substance,Closed,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Hasler Flats and Chetwynd BC,British Columbia,Sulphur Dioxide,Miscellaneous,Operation,Yes,Processing Plant,Corrosion and Cracking,Maintenance
INC2016-089,54.95,-119.194,Not Applicable,2016-08-08T00:00:00,2016,Operation Beyond Design Limits,Submitted,NOVA Gas Transmission Ltd.,"Grande Prairie, Alberta",Alberta,Not applicable,Not applicable,Operation,Yes,Pipeline,External Interference,Engineering and Planning
INC2016-088,45.28066,-66.0027,8.0000,2016-08-06T00:00:00,2016,Release of Substance,Closed,Emera Brunswick Pipeline Company Ltd.,Saint John,New Brunswick,Natural Gas - Sweet,Gas,Operation,Yes,Pipeline,Equipment Failure,"Maintenance,Natural or Environmental Forces"
INC2016-087,45.25124,-66.09725,30.0000,2016-08-06T00:00:00,2016,Release of Substance,Closed,Maritimes & Northeast Pipeline Management Ltd.,Saint John,New Brunswick,Natural Gas - Sweet,Gas,Operation,Yes,Pipeline,Equipment Failure,Natural or Environmental Forces
INC2016-086,54.85067,-112.82706,1.0000,2016-08-03T00:00:00,2016,Release of Substance,Submitted,NOVA Gas Transmission Ltd.,Boyle,Alberta,Natural Gas - Sweet,Gas,Operation,Yes,Pipeline,Corrosion and Cracking,Maintenance
INC2016-085,43.988,-79.011,Not Applicable,2016-08-03T00:00:00,2016,Fire,Closed,TransCanada PipeLines Limited,Oshawa,Ontario,Not applicable,Not applicable,Construction,No,Not Available,"External Interference,Incorrect Operation",Inadequate Supervision
INC2016-084,52.63822644,-111.27864571,Not Applicable,2016-07-30T00:00:00,2016,Operation Beyond Design Limits,Closed,Enbridge Pipelines Inc.,"Hardisty, AB",Alberta,Not applicable,Not applicable,Operation,Yes,Pumping,"External Interference,Incorrect Operation","Human Factors,Standards and Procedures"
INC2016-083,55.51043,-113.46468,52000.0000,2016-07-27T00:00:00,2016,Release of Substance,Submitted,NOVA Gas Transmission Ltd.,Slave Lake,Alberta,Natural Gas - Sweet,Gas,Operation,Yes,Pipeline,Corrosion and Cracking,Maintenance
INC2016-082,49.30721239,-114.01499449,Not Applicable,2016-07-26T00:00:00,2016,Operation Beyond Design Limits,Submitted,NOVA Gas Transmission Ltd.,"Pecten, Alberta",Alberta,Not applicable,Not applicable,Operation,Yes,Compression,Other Causes,Engineering and Planning
INC2016-081,53.54290845,-113.36445011,2.3000,2016-07-21T00:00:00,2016,Release of Substance,Submitted,Trans Mountain Pipeline ULC,Edmonton & Sherwood Park,Alberta,Diesel Fuel,Liquid,Maintenance,Yes,Storage,"Defect and Deterioration,Equipment Failure,External Interference","Engineering and Planning,Maintenance"
INC2016-080,50.70313,-111.157945,40.0000,2016-07-21T00:00:00,2016,Release of Substance,Closed,NOVA Gas Transmission Ltd.,Jenner,Alberta,Natural Gas - Sweet,Gas,Operation,Yes,Metering,Corrosion and Cracking,Maintenance
INC2016-079,43.06191,-79.92035,Not Applicable,2016-07-20T00:00:00,2016,Fire,Closed,Enbridge Pipelines Inc.,Nanticoke,Ontario,Not applicable,Not applicable,Maintenance,No,Not Available,Incorrect Operation,Human Factors
INC2016-078,46.11305974,-64.71567652,3.0000,2016-07-15T00:00:00,2016,Release of Substance,Closed,Maritimes & Northeast Pipeline Management Ltd.,Moncton,New Brunswick,Natural Gas - Sweet,Gas,Operation,Yes,Metering,Equipment Failure,Natural or Environmental Forces
INC2016-077,43.00475402,-79.05071351,1750.0000,2016-07-12T00:00:00,2016,Release of Substance,Closed,TransCanada PipeLines Limited,"Niagara Falls, ON",Ontario,Natural Gas - Sweet,Gas,Operation,Yes,Metering,"Equipment Failure,Incorrect Operation","Failure in communication,Maintenance,Standards and Procedures"
INC2016-076,43.385213,-79.798679,Not Applicable,2016-07-07T00:00:00,2016,Operation Beyond Design Limits,Closed,Enbridge Pipelines Inc.,Oakville,Ontario,Not applicable,Not applicable,Operation,Yes,Pipeline,Natural Force Damage,Natural or Environmental Forces
INC2016-075,52.588887,-111.004248,Not Applicable,2016-07-06T00:00:00,2016,Operation Beyond Design Limits,Submitted,NOVA Gas Transmission Ltd.,"Amisk, AB",Alberta,Not applicable,Not applicable,Operation,No,Not Available,"External Interference,Incorrect Operation",Failure in communication
INC2016-074,43.385213,-79.798679,Not Applicable,2016-07-06T00:00:00,2016,Operation Beyond Design Limits,Closed,Enbridge Pipelines Inc.,Oakville,Ontario,Not applicable,Not applicable,Operation,Yes,Pipeline,Natural Force Damage,Natural or Environmental Forces
INC2016-073,43.53301111,-79.60468333,Not Applicable,2016-07-06T00:00:00,2016,Operation Beyond Design Limits,Closed,Enbridge Pipelines Inc.,Mississauga,Ontario,Not applicable,Not applicable,Operation,Yes,Pipeline,"Incorrect Operation,Natural Force Damage",Natural or Environmental Forces
INC2016-072,43.41454588,-79.76735273,Not Applicable,2016-07-06T00:00:00,2016,Operation Beyond Design Limits,Closed,Enbridge Pipelines Inc.,Oakville,Ontario,Not applicable,Not applicable,Operation,Yes,Pipeline,"Incorrect Operation,Natural Force Damage",Natural or Environmental Forces
INC2016-071,43.45792222,-79.71974167,Not Applicable,2016-07-06T00:00:00,2016,Operation Beyond Design Limits,Closed,Enbridge Pipelines Inc.,Oakville,Ontario,Not applicable,Not applicable,Operation,Yes,Pipeline,Natural Force Damage,Natural or Environmental Forces
INC2016-070,50.48236249,-104.58858522,Not Applicable,2016-07-05T00:00:00,2016,Fire,Closed,Enbridge Pipelines Inc.,City of Regina,Saskatchewan,Not applicable,Not applicable,Operation,No,Not Available,External Interference,Natural or Environmental Forces
INC2016-069,49.002718,-122.226017,Not Applicable,2016-07-05T00:00:00,2016,Operation Beyond Design Limits,Closed,Trans Mountain Pipeline ULC,"Abbotsford, BC",British Columbia,Not applicable,Not applicable,Operation,Yes,Pigging,External Interference,"Engineering and Planning,Natural or Environmental Forces"
INC2016-067,46.11305974,-64.71567652,2000.0000,2016-07-02T00:00:00,2016,Release of Substance,Closed,Maritimes & Northeast Pipeline Management Ltd.,Moncton,New Brunswick,Natural Gas - Sweet,Gas,Maintenance,Yes,Metering,Equipment Failure,Maintenance
INC2016-066,55.56909171,-121.94466164,725.0000,2016-06-30T00:00:00,2016,Release of Substance,Closed,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Chetwynd,British Columbia,Contaminated Water,Miscellaneous,Operation,No,Not Available,External Interference,Standards and Procedures
INC2016-065,45.412346,-74.117726,Not Applicable,2016-06-29T00:00:00,2016,Operation Beyond Design Limits,Submitted,Trans-Northern Pipelines Inc.,St. Lazare,Quebec,Not applicable,Not applicable,Operation,No,Not Available,External Interference,"Inadequate Supervision,Standards and Procedures"
INC2016-064,56.98989959,-111.55817073,Not Applicable,2016-06-29T00:00:00,2016,Fire,Closed,NOVA Gas Transmission Ltd.,FT MacKy,Alberta,Not applicable,Not applicable,Construction,Yes,Vehicle / mobile equipment,"External Interference,Incorrect Operation",Standards and Procedures
INC2016-063,49.3064,-114.0392,Not Applicable,2016-06-29T00:00:00,2016,Operation Beyond Design Limits,Closed,NOVA Gas Transmission Ltd.,Pecten,Alberta,Not applicable,Not applicable,Operation,Yes,Compression,"Equipment Failure,External Interference,Incorrect Operation",Tools and Equipment
INC2016-061,55.61586461,-121.87386376,Not Applicable,2016-06-17T00:00:00,2016,Operation Beyond Design Limits,Closed,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Chetwynd,British Columbia,Not applicable,Not applicable,Operation,No,Not Available,External Interference,Natural or Environmental Forces
INC2016-060,55.39809164,-121.74109765,Not Applicable,2016-06-17T00:00:00,2016,Operation Beyond Design Limits,Closed,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Chetwynd,British Columbia,Not applicable,Not applicable,Operation,No,Not Available,External Interference,Natural or Environmental Forces
INC2016-059,55.39808677,-121.74217224,Not Applicable,2016-06-17T00:00:00,2016,Operation Beyond Design Limits,Closed,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Chetwynd,British Columbia,Not applicable,Not applicable,Operation,No,Not Available,External Interference,Natural or Environmental Forces
INC2016-058,55.39809164,-121.74109765,Not Applicable,2016-06-17T00:00:00,2016,Operation Beyond Design Limits,Closed,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",chetwynd,British Columbia,Not applicable,Not applicable,Operation,No,Not Available,External Interference,Natural or Environmental Forces
INC2016-057,53.48753071,-116.46394145,Not Applicable,2016-06-10T00:00:00,2016,Fire,Closed,NOVA Gas Transmission Ltd.,"Edson, AB",Alberta,Not applicable,Not applicable,Operation,Yes,Compression,"Equipment Failure,External Interference","Maintenance,Natural or Environmental Forces"
INC2016-056,58.476598,-118.571115,Not Applicable,2016-06-03T00:00:00,2016,Operation Beyond Design Limits,Closed,NOVA Gas Transmission Ltd.,"Assumption, AB",Alberta,Not applicable,Not applicable,Operation,Yes,Pipeline,Natural Force Damage,Natural or Environmental Forces
INC2016-055,57.2213,-120.3812,1.0000,2016-06-03T00:00:00,2016,Release of Substance,Closed,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Fort St. John BC,British Columbia,Natural Gas - Sour,Gas,Operation,No,Not Available,Equipment Failure,"Maintenance,Tools and Equipment"
INC2016-054,45.74530152,-77.10493802,Not Applicable,2016-05-27T00:00:00,2016,Fire,Closed,TransCanada PipeLines Limited,Pembroke,Ontario,Not applicable,Not applicable,Operation,Yes,Compression,Defect and Deterioration,"Engineering and Planning,Failure in communication,Maintenance"
INC2016-053,44.99889836,-74.74072784,Not Applicable,2016-05-25T00:00:00,2016,Fire,Closed,Niagara Gas Transmission Limited,Cornwall,Ontario,Not applicable,Not applicable,Operation,No,Not Available,Incorrect Operation,Human Factors
INC2016-052,50.445,-104.618,Not Applicable,2016-05-24T00:00:00,2016,Operation Beyond Design Limits,Closed,Enbridge Pipelines Inc.,Regina,Saskatchewan,Not applicable,Not applicable,Operation,No,Not Available,External Interference,Engineering and Planning
INC2016-051,49.763023,-84.918336,Not Applicable,2016-05-24T00:00:00,2016,Fire,Closed,TransCanada PipeLines Limited,Calstock,Ontario,Not applicable,Not applicable,Operation,No,Not Available,External Interference,Natural or Environmental Forces
INC2016-050,56.14410425,-120.404,39.7000,2016-05-18T00:00:00,2016,Release of Substance,Closed,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Taylor BC,British Columbia,Natural Gas - Sour,Gas,Operation,Yes,Compression,Corrosion and Cracking,Engineering and Planning
INC2016-049,57.18901,-118.1927,Not Applicable,2016-05-18T00:00:00,2016,Fire,Closed,NOVA Gas Transmission Ltd.,Manning,Alberta,Not applicable,Not applicable,Construction,No,Not Available,Incorrect Operation,Tools and Equipment
INC2016-048,55.85011511,-121.234982,260.0000,2016-05-18T00:00:00,2016,Release of Substance,Closed,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",New Westminister,British Columbia,Natural Gas - Sweet,Gas,Operation,Yes,Pipeline,External Interference,"Human Factors,Standards and Procedures,Tools and Equipment"
INC2016-046,48.877764,-89.989258,Not Applicable,2016-05-13T00:00:00,2016,Fire,Closed,TransCanada PipeLines Limited,"Upsala,ON",Ontario,Not applicable,Not applicable,Construction,Yes,Vehicle / mobile equipment,"External Interference,Incorrect Operation","Failure in communication,Maintenance,Tools and Equipment"
INC2016-045,52.637465,-111.277537,Not Applicable,2016-05-12T00:00:00,2016,Operation Beyond Design Limits,Closed,Enbridge Pipelines Inc.,"Hardisty, Alberta",Alberta,Not applicable,Not applicable,Operation,Yes,Metering,"External Interference,Incorrect Operation","Engineering and Planning,Human Factors"
INC2016-044,51.09872674,-112.6387157,Not Applicable,2016-05-11T00:00:00,2016,Operation Beyond Design Limits,Closed,NOVA Gas Transmission Ltd.,"Hussar, AB",Alberta,Not applicable,Not applicable,Operation,Yes,Compression,Incorrect Operation,Failure in communication
INC2016-043,54.097121,-112.562914,370.0000,2016-05-11T00:00:00,2016,Release of Substance,Closed,NOVA Gas Transmission Ltd.,"Smokey Lake, AB",Alberta,Natural Gas - Sweet,Gas,Operation,Yes,Pipeline,Corrosion and Cracking,Maintenance
INC2016-042,57.191887,-118.193875,Not Applicable,2016-05-04T00:00:00,2016,Operation Beyond Design Limits,Closed,NOVA Gas Transmission Ltd.,"North west of Manning, Alberta",Alberta,Not applicable,Not applicable,Operation,No,Not Available,External Interference,Engineering and Planning
INC2016-041,50.0126,-102.1408,Not Applicable,2016-05-03T00:00:00,2016,Fire,Closed,Enbridge Pipelines Inc.,"Langbank, SK",Saskatchewan,Not applicable,Not applicable,Operation,No,Not Available,External Interference,Natural or Environmental Forces
INC2016-038,43.874375,-79.578986,Not Applicable,2016-04-23T00:00:00,2016,Fire,Closed,TransCanada PipeLines Limited,"Maple, Ontario",Ontario,Not applicable,Not applicable,Construction,No,Not Available,"External Interference,Incorrect Operation",Human Factors
INC2016-037,43.74,-79.63,Not Applicable,2016-04-19T00:00:00,2016,Fire,Closed,TransCanada PipeLines Limited,Brampton,Ontario,Not applicable,Not applicable,Construction,Yes,Vehicle / mobile equipment,"External Interference,Incorrect Operation","Maintenance,Tools and Equipment"
INC2016-036,50.3828,-104.2975,Not Applicable,2016-04-15T00:00:00,2016,Fire,Closed,Enbridge Pipelines Inc.,White City,Saskatchewan,Not applicable,Not applicable,Operation,No,Not Available,External Interference,Natural or Environmental Forces
INC2016-035,48.131264,-80.215544,5.2000,2016-04-08T00:00:00,2016,Release of Substance,Submitted,TransCanada PipeLines Limited,"Kenogami, ONo",Ontario,Natural Gas - Sweet,Gas,Maintenance,Yes,Pipeline,"Corrosion and Cracking,Defect and Deterioration","Engineering and Planning,Tools and Equipment"
INC2016-034,45.17170605,-61.61267605,716.0000,2016-04-07T00:00:00,2016,Release of Substance,Closed,ExxonMobil Canada Properties,"Isaacs Harbour, Guysborough County",Nova Scotia,Natural Gas - Sweet,Gas,Operation,Yes,Processing Plant,"Equipment Failure,External Interference","Engineering and Planning,Tools and Equipment"
INC2016-033,56.83,-120.404,913.0000,2016-04-06T00:00:00,2016,Release of Substance,Closed,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",4000,British Columbia,Natural Gas - Sweet,Gas,Operation,Yes,Metering,Equipment Failure,Maintenance
INC2016-032,42.2878692,-83.09267014,0.0182,2016-04-04T00:00:00,2016,Release of Substance,Closed,Kinder Morgan Cochin ULC,Windsor,Ontario,Propane,Gas,Operation,Yes,Pipeline,Equipment Failure,Maintenance
INC2016-029,55.3315,-121.5632,10.2300,2016-03-31T00:00:00,2016,Release of Substance,Closed,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Chetwyn,British Columbia,Contaminated Water,Miscellaneous,Operation,Yes,Processing Plant,Incorrect Operation,"Engineering and Planning,Standards and Procedures"
INC2016-028,45.8618104,-66.5829674,1.0000,2016-03-24T00:00:00,2016,Release of Substance,Closed,Maritimes & Northeast Pipeline Management Ltd.,9000,New Brunswick,Natural Gas - Sweet,Gas,Maintenance,No,Not Available,Defect and Deterioration,Natural or Environmental Forces
INC2016-027,44.677392,-63.596725,1.0000,2016-03-03T00:00:00,2016,Release of Substance,Closed,Maritimes & Northeast Pipeline Management Ltd.,Halifax Regional Municipality,Nova Scotia,Natural Gas - Sweet,Gas,Operation,No,Not Available,Equipment Failure,Engineering and Planning
INC2016-026,43.744167,-79.633611,Not Applicable,2016-02-24T00:00:00,2016,Fire,Closed,TransCanada PipeLines Limited,Claireville,Ontario,Not applicable,Not applicable,Construction,No,Not Available,"External Interference,Incorrect Operation","Human Factors,Inadequate Supervision"
INC2016-025,54.45,-117.7,Not Applicable,2016-02-16T00:00:00,2016,Serious Injury (CER or TSB),Closed,NOVA Gas Transmission Ltd.,Fox Creek,Alberta,Not applicable,Not applicable,Construction,No,Not Available,"External Interference,Incorrect Operation",Human Factors
INC2016-024,49.7,-101.2,3.0000,2016-02-14T00:00:00,2016,Release of Substance,Closed,Enbridge Pipelines Inc.,Cromer,Manitoba,Crude Oil - Sweet,Liquid,Operation,Yes,Pumping,Incorrect Operation,Human Factors
INC2016-023,44.6777652,-63.5970225,0.5000,2016-02-12T00:00:00,2016,Release of Substance,Closed,Maritimes & Northeast Pipeline Management Ltd.,Dartmouth,Nova Scotia,Natural Gas - Sweet,Gas,Operation,Yes,Metering,Equipment Failure,Maintenance
INC2016-022,52.933313,-112.082122,0.0010,2016-02-10T00:00:00,2016,Release of Substance,Closed,Enbridge Pipelines Inc.,Strome,Alberta,Natural Gas Liquids,Gas,Operation,Yes,Pumping,Incorrect Operation,"Failure in communication,Human Factors,Inadequate Supervision"
INC2016-021,55.569092,-121.944662,13.2300,2016-02-09T00:00:00,2016,Release of Substance,Closed,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Hasler,British Columbia,Natural Gas - Sour,Gas,Operation,Yes,Processing Plant,Incorrect Operation,Engineering and Planning
INC2016-020,56.141402,-120.669325,5.0000,2016-02-05T00:00:00,2016,Release of Substance,Closed,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",.5 km,British Columbia,Water,Miscellaneous,Operation,No,Not Available,External Interference,Standards and Procedures
INC2016-019,56.083,-120.404,6380.0000,2016-02-04T00:00:00,2016,Release of Substance,Closed,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Taylor,British Columbia,Natural Gas - Sweet,Gas,Operation,No,Not Available,External Interference,Engineering and Planning
INC2016-018,56.146137,-120.670787,853.0000,2016-02-04T00:00:00,2016,Release of Substance,Closed,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Taylor,British Columbia,Natural Gas - Sour,Gas,Operation,Yes,Processing Plant,Incorrect Operation,"Inadequate Supervision,Standards and Procedures"
INC2016-015,56.6442,-120.81235,15.2300,2016-01-28T00:00:00,2016,Release of Substance,Closed,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",None,British Columbia,Natural Gas - Sweet,Gas,Maintenance,Yes,Compression,Incorrect Operation,Standards and Procedures
INC2016-013,56.4861,-114.11751,Not Applicable,2016-01-25T00:00:00,2016,Fire,Closed,NOVA Gas Transmission Ltd.,Wabasca,Alberta,Not applicable,Not applicable,Construction,No,Not Available,"External Interference,Incorrect Operation","Engineering and Planning,Tools and Equipment"
INC2016-010,57.42235949,-118.24922174,42.0000,2016-01-19T00:00:00,2016,Release of Substance,Closed,NOVA Gas Transmission Ltd.,"Manning, Alberta",Alberta,Natural Gas - Sweet,Gas,Maintenance,Yes,Pipeline,Corrosion and Cracking,"Maintenance,Tools and Equipment"
INC2016-008,43.39419,-79.73732,Not Applicable,2016-01-13T00:00:00,2016,Operation Beyond Design Limits,Closed,Trans-Northern Pipelines Inc.,Oakville,Ontario,Not applicable,Not applicable,Operation,No,Not Available,"External Interference,Incorrect Operation",Engineering and Planning
INC2016-006,58.65324554,-122.68482307,2.9000,2016-01-06T00:00:00,2016,Release of Substance,Closed,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Fort Nelson,British Columbia,Contaminated Water,Miscellaneous,Operation,Yes,Processing Plant,Corrosion and Cracking,Maintenance
INC2016-004,53.544151,-113.355103,Not Applicable,2016-01-04T00:00:00,2016,Operation Beyond Design Limits,Closed,Enbridge Pipelines Inc.,Edmonton,Alberta,Not applicable,Not applicable,Operation,Yes,Pumping,"External Interference,Incorrect Operation","Engineering and Planning,Human Factors,Inadequate Supervision"
INC2016-003,53.54151,-113.353867,Not Applicable,2016-01-02T00:00:00,2016,Fire,Closed,Enbridge Pipelines Inc.,Sherwood Park,Alberta,Not applicable,Not applicable,Operation,Yes,Pumping,External Interference,Tools and Equipment
