Incidents,Latitude,Longitude,Volume approx. rejeté,Date/année du signalement,Type d’incident,État,Société,Centre de population le plus près,Provinces,Substance, Type de rejet,Étape du cycle de vie,Des composantes du réseau ont-elles été en cause?,Composantes en cause,Ce qui s’est passé,Causes
INC2016-073,43.53301111,-79.60468333,Sans objet,2016-07-06T00:00:00,Exploitation au-delà des tolérances de fabrication,Fermé,Enbridge Pipelines Inc.,Mississauga,Ontario,N'est pas applicable,N'est pas applicable,Exploitation,Yes,Pipeline,"Erreur d’exploitation,Forces de la nature",Forces de la nature ou environnement
INC2016-072,43.41454588,-79.76735273,Sans objet,2016-07-06T00:00:00,Exploitation au-delà des tolérances de fabrication,Fermé,Enbridge Pipelines Inc.,Oakville,Ontario,N'est pas applicable,N'est pas applicable,Exploitation,Yes,Pipeline,"Erreur d’exploitation,Forces de la nature",Forces de la nature ou environnement
INC2016-071,43.45792222,-79.71974167,Sans objet,2016-07-06T00:00:00,Exploitation au-delà des tolérances de fabrication,Fermé,Enbridge Pipelines Inc.,Oakville,Ontario,N'est pas applicable,N'est pas applicable,Exploitation,Yes,Pipeline,Forces de la nature,Forces de la nature ou environnement
INC2016-070,50.48236249,-104.58858522,Sans objet,2016-07-05T00:00:00,Incendie,Fermé,Enbridge Pipelines Inc.,City of Regina,Saskatchewan,N'est pas applicable,N'est pas applicable,Exploitation,No,Non disponible,Interférences extérieures,Forces de la nature ou environnement
INC2016-069,49.002718,-122.226017,Sans objet,2016-07-05T00:00:00,Exploitation au-delà des tolérances de fabrication,Fermé,Trans Mountain Pipeline ULC,"Abbotsford, BC",Colombie-Britannique,N'est pas applicable,N'est pas applicable,Exploitation,Yes,Raclage,Interférences extérieures,"Ingénierie et planification,Forces de la nature ou environnement"
INC2016-067,46.11305974,-64.71567652,2000.0000,2016-07-02T00:00:00,Déversement de substance,Fermé,Maritimes & Northeast Pipeline Management Ltd.,Moncton,Nouveau-Brunswick,Gaz Naturel - non sulfureux,Gaz,Entretien,Yes,Comptage,Défaillance d’équipement,Entretien
INC2016-066,55.56909171,-121.94466164,725.0000,2016-06-30T00:00:00,Déversement de substance,Fermé,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Chetwynd,Colombie-Britannique,Eau contaminée,Divers,Exploitation,No,Non disponible,Interférences extérieures,Normes et procédures
INC2016-065,45.412346,-74.117726,Sans objet,2016-06-29T00:00:00,Exploitation au-delà des tolérances de fabrication,Soumis,Trans-Northern Pipelines Inc.,St. Lazare,Québec,N'est pas applicable,N'est pas applicable,Exploitation,No,Non disponible,Interférences extérieures,"Supervision insuffisante,Normes et procédures"
INC2016-064,56.98989959,-111.55817073,Sans objet,2016-06-29T00:00:00,Incendie,Fermé,NOVA Gas Transmission Ltd.,FT MacKy,Alberta,N'est pas applicable,N'est pas applicable,Construction,Yes,V&eacute;hicule / &eacute;quipement mobile,"Interférences extérieures,Erreur d’exploitation",Normes et procédures
INC2016-063,49.3064,-114.0392,Sans objet,2016-06-29T00:00:00,Exploitation au-delà des tolérances de fabrication,Fermé,NOVA Gas Transmission Ltd.,Pecten,Alberta,N'est pas applicable,N'est pas applicable,Exploitation,Yes,Compression,"Défaillance d’équipement,Interférences extérieures,Erreur d’exploitation",Outils et équipement
INC2016-061,55.61586461,-121.87386376,Sans objet,2016-06-17T00:00:00,Exploitation au-delà des tolérances de fabrication,Fermé,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Chetwynd,Colombie-Britannique,N'est pas applicable,N'est pas applicable,Exploitation,No,Non disponible,Interférences extérieures,Forces de la nature ou environnement
INC2016-060,55.39809164,-121.74109765,Sans objet,2016-06-17T00:00:00,Exploitation au-delà des tolérances de fabrication,Fermé,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Chetwynd,Colombie-Britannique,N'est pas applicable,N'est pas applicable,Exploitation,No,Non disponible,Interférences extérieures,Forces de la nature ou environnement
INC2016-059,55.39808677,-121.74217224,Sans objet,2016-06-17T00:00:00,Exploitation au-delà des tolérances de fabrication,Fermé,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Chetwynd,Colombie-Britannique,N'est pas applicable,N'est pas applicable,Exploitation,No,Non disponible,Interférences extérieures,Forces de la nature ou environnement
INC2016-058,55.39809164,-121.74109765,Sans objet,2016-06-17T00:00:00,Exploitation au-delà des tolérances de fabrication,Fermé,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",chetwynd,Colombie-Britannique,N'est pas applicable,N'est pas applicable,Exploitation,No,Non disponible,Interférences extérieures,Forces de la nature ou environnement
INC2016-057,53.48753071,-116.46394145,Sans objet,2016-06-10T00:00:00,Incendie,Fermé,NOVA Gas Transmission Ltd.,"Edson, AB",Alberta,N'est pas applicable,N'est pas applicable,Exploitation,Yes,Compression,"Défaillance d’équipement,Interférences extérieures","Entretien,Forces de la nature ou environnement"
INC2016-056,58.476598,-118.571115,Sans objet,2016-06-03T00:00:00,Exploitation au-delà des tolérances de fabrication,Fermé,NOVA Gas Transmission Ltd.,"Assumption, AB",Alberta,N'est pas applicable,N'est pas applicable,Exploitation,Yes,Pipeline,Forces de la nature,Forces de la nature ou environnement
INC2016-055,57.2213,-120.3812,1.0000,2016-06-03T00:00:00,Déversement de substance,Fermé,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Fort St. John BC,Colombie-Britannique,Gaz naturel - sulfureux,Gaz,Exploitation,No,Non disponible,Défaillance d’équipement,"Entretien,Outils et équipement"
INC2016-054,45.74530152,-77.10493802,Sans objet,2016-05-27T00:00:00,Incendie,Fermé,TransCanada PipeLines Limited,Pembroke,Ontario,N'est pas applicable,N'est pas applicable,Exploitation,Yes,Compression,Défectuosité et détérioration,"Ingénierie et planification,Problème de communication,Entretien"
INC2016-053,44.99889836,-74.74072784,Sans objet,2016-05-25T00:00:00,Incendie,Fermé,Niagara Gas Transmission Limited,Cornwall,Ontario,N'est pas applicable,N'est pas applicable,Exploitation,No,Non disponible,Erreur d’exploitation,Facteurs humains
INC2016-052,50.445,-104.618,Sans objet,2016-05-24T00:00:00,Exploitation au-delà des tolérances de fabrication,Fermé,Enbridge Pipelines Inc.,Regina,Saskatchewan,N'est pas applicable,N'est pas applicable,Exploitation,No,Non disponible,Interférences extérieures,Ingénierie et planification
INC2016-051,49.763023,-84.918336,Sans objet,2016-05-24T00:00:00,Incendie,Fermé,TransCanada PipeLines Limited,Calstock,Ontario,N'est pas applicable,N'est pas applicable,Exploitation,No,Non disponible,Interférences extérieures,Forces de la nature ou environnement
INC2016-050,56.14410425,-120.404,39.7000,2016-05-18T00:00:00,Déversement de substance,Fermé,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Taylor BC,Colombie-Britannique,Gaz naturel - sulfureux,Gaz,Exploitation,Yes,Compression,Corrosion et fissuration,Ingénierie et planification
INC2016-049,57.18901,-118.1927,Sans objet,2016-05-18T00:00:00,Incendie,Fermé,NOVA Gas Transmission Ltd.,Manning,Alberta,N'est pas applicable,N'est pas applicable,Construction,No,Non disponible,Erreur d’exploitation,Outils et équipement
INC2016-048,55.85011511,-121.234982,260.0000,2016-05-18T00:00:00,Déversement de substance,Fermé,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",New Westminister,Colombie-Britannique,Gaz Naturel - non sulfureux,Gaz,Exploitation,Yes,Pipeline,Interférences extérieures,"Facteurs humains,Normes et procédures,Outils et équipement"
INC2016-046,48.877764,-89.989258,Sans objet,2016-05-13T00:00:00,Incendie,Fermé,TransCanada PipeLines Limited,"Upsala,ON",Ontario,N'est pas applicable,N'est pas applicable,Construction,Yes,V&eacute;hicule / &eacute;quipement mobile,"Interférences extérieures,Erreur d’exploitation","Problème de communication,Entretien,Outils et équipement"
INC2016-045,52.637465,-111.277537,Sans objet,2016-05-12T00:00:00,Exploitation au-delà des tolérances de fabrication,Fermé,Enbridge Pipelines Inc.,"Hardisty, Alberta",Alberta,N'est pas applicable,N'est pas applicable,Exploitation,Yes,Comptage,"Interférences extérieures,Erreur d’exploitation","Ingénierie et planification,Facteurs humains"
INC2016-044,51.09872674,-112.6387157,Sans objet,2016-05-11T00:00:00,Exploitation au-delà des tolérances de fabrication,Fermé,NOVA Gas Transmission Ltd.,"Hussar, AB",Alberta,N'est pas applicable,N'est pas applicable,Exploitation,Yes,Compression,Erreur d’exploitation,Problème de communication
INC2016-043,54.097121,-112.562914,370.0000,2016-05-11T00:00:00,Déversement de substance,Fermé,NOVA Gas Transmission Ltd.,"Smokey Lake, AB",Alberta,Gaz Naturel - non sulfureux,Gaz,Exploitation,Yes,Pipeline,Corrosion et fissuration,Entretien
INC2016-042,57.191887,-118.193875,Sans objet,2016-05-04T00:00:00,Exploitation au-delà des tolérances de fabrication,Fermé,NOVA Gas Transmission Ltd.,"North west of Manning, Alberta",Alberta,N'est pas applicable,N'est pas applicable,Exploitation,No,Non disponible,Interférences extérieures,Ingénierie et planification
INC2016-041,50.0126,-102.1408,Sans objet,2016-05-03T00:00:00,Incendie,Fermé,Enbridge Pipelines Inc.,"Langbank, SK",Saskatchewan,N'est pas applicable,N'est pas applicable,Exploitation,No,Non disponible,Interférences extérieures,Forces de la nature ou environnement
INC2016-038,43.874375,-79.578986,Sans objet,2016-04-23T00:00:00,Incendie,Fermé,TransCanada PipeLines Limited,"Maple, Ontario",Ontario,N'est pas applicable,N'est pas applicable,Construction,No,Non disponible,"Interférences extérieures,Erreur d’exploitation",Facteurs humains
INC2016-037,43.74,-79.63,Sans objet,2016-04-19T00:00:00,Incendie,Fermé,TransCanada PipeLines Limited,Brampton,Ontario,N'est pas applicable,N'est pas applicable,Construction,Yes,V&eacute;hicule / &eacute;quipement mobile,"Interférences extérieures,Erreur d’exploitation","Entretien,Outils et équipement"
INC2016-036,50.3828,-104.2975,Sans objet,2016-04-15T00:00:00,Incendie,Fermé,Enbridge Pipelines Inc.,White City,Saskatchewan,N'est pas applicable,N'est pas applicable,Exploitation,No,Non disponible,Interférences extérieures,Forces de la nature ou environnement
INC2016-035,48.131264,-80.215544,5.2000,2016-04-08T00:00:00,Déversement de substance,Soumis,TransCanada PipeLines Limited,"Kenogami, ONo",Ontario,Gaz Naturel - non sulfureux,Gaz,Entretien,Yes,Pipeline,"Corrosion et fissuration,Défectuosité et détérioration","Ingénierie et planification,Outils et équipement"
INC2016-034,45.17170605,-61.61267605,716.0000,2016-04-07T00:00:00,Déversement de substance,Fermé,ExxonMobil Canada Properties,"Isaacs Harbour, Guysborough County",Nouvelle-Écosse,Gaz Naturel - non sulfureux,Gaz,Exploitation,Yes,Usine de traitement,"Défaillance d’équipement,Interférences extérieures","Ingénierie et planification,Outils et équipement"
INC2016-033,56.83,-120.404,913.0000,2016-04-06T00:00:00,Déversement de substance,Fermé,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",4000,Colombie-Britannique,Gaz Naturel - non sulfureux,Gaz,Exploitation,Yes,Comptage,Défaillance d’équipement,Entretien
INC2016-032,42.2878692,-83.09267014,0.0182,2016-04-04T00:00:00,Déversement de substance,Fermé,Kinder Morgan Cochin ULC,Windsor,Ontario,Propane,Gaz,Exploitation,Yes,Pipeline,Défaillance d’équipement,Entretien
INC2016-029,55.3315,-121.5632,10.2300,2016-03-31T00:00:00,Déversement de substance,Fermé,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Chetwyn,Colombie-Britannique,Eau contaminée,Divers,Exploitation,Yes,Usine de traitement,Erreur d’exploitation,"Ingénierie et planification,Normes et procédures"
INC2016-028,45.8618104,-66.5829674,1.0000,2016-03-24T00:00:00,Déversement de substance,Fermé,Maritimes & Northeast Pipeline Management Ltd.,9000,Nouveau-Brunswick,Gaz Naturel - non sulfureux,Gaz,Entretien,No,Non disponible,Défectuosité et détérioration,Forces de la nature ou environnement
INC2016-027,44.677392,-63.596725,1.0000,2016-03-03T00:00:00,Déversement de substance,Fermé,Maritimes & Northeast Pipeline Management Ltd.,Halifax Regional Municipality,Nouvelle-Écosse,Gaz Naturel - non sulfureux,Gaz,Exploitation,No,Non disponible,Défaillance d’équipement,Ingénierie et planification
INC2016-026,43.744167,-79.633611,Sans objet,2016-02-24T00:00:00,Incendie,Fermé,TransCanada PipeLines Limited,Claireville,Ontario,N'est pas applicable,N'est pas applicable,Construction,No,Non disponible,"Interférences extérieures,Erreur d’exploitation","Facteurs humains,Supervision insuffisante"
INC2016-025,54.45,-117.7,Sans objet,2016-02-16T00:00:00,Blessure grave (Office ou BST),Fermé,NOVA Gas Transmission Ltd.,Fox Creek,Alberta,N'est pas applicable,N'est pas applicable,Construction,No,Non disponible,"Interférences extérieures,Erreur d’exploitation",Facteurs humains
INC2016-024,49.7,-101.2,3.0000,2016-02-14T00:00:00,Déversement de substance,Fermé,Enbridge Pipelines Inc.,Cromer,Manitoba,Pétrole brut non sulfureux,Liquide,Exploitation,Yes,Pompage,Erreur d’exploitation,Facteurs humains
INC2016-023,44.6777652,-63.5970225,0.5000,2016-02-12T00:00:00,Déversement de substance,Fermé,Maritimes & Northeast Pipeline Management Ltd.,Dartmouth,Nouvelle-Écosse,Gaz Naturel - non sulfureux,Gaz,Exploitation,Yes,Comptage,Défaillance d’équipement,Entretien
INC2016-022,52.933313,-112.082122,0.0010,2016-02-10T00:00:00,Déversement de substance,Fermé,Enbridge Pipelines Inc.,Strome,Alberta,Liquides de gaz naturel,Gaz,Exploitation,Yes,Pompage,Erreur d’exploitation,"Problème de communication,Facteurs humains,Supervision insuffisante"
INC2016-021,55.569092,-121.944662,13.2300,2016-02-09T00:00:00,Déversement de substance,Fermé,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Hasler,Colombie-Britannique,Gaz naturel - sulfureux,Gaz,Exploitation,Yes,Usine de traitement,Erreur d’exploitation,Ingénierie et planification
INC2016-020,56.141402,-120.669325,5.0000,2016-02-05T00:00:00,Déversement de substance,Fermé,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",.5 km,Colombie-Britannique,Eau,Divers,Exploitation,No,Non disponible,Interférences extérieures,Normes et procédures
INC2016-019,56.083,-120.404,6380.0000,2016-02-04T00:00:00,Déversement de substance,Fermé,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Taylor,Colombie-Britannique,Gaz Naturel - non sulfureux,Gaz,Exploitation,No,Non disponible,Interférences extérieures,Ingénierie et planification
INC2016-018,56.146137,-120.670787,853.0000,2016-02-04T00:00:00,Déversement de substance,Fermé,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Taylor,Colombie-Britannique,Gaz naturel - sulfureux,Gaz,Exploitation,Yes,Usine de traitement,Erreur d’exploitation,"Supervision insuffisante,Normes et procédures"
INC2016-015,56.6442,-120.81235,15.2300,2016-01-28T00:00:00,Déversement de substance,Fermé,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",None,Colombie-Britannique,Gaz Naturel - non sulfureux,Gaz,Entretien,Yes,Compression,Erreur d’exploitation,Normes et procédures
INC2016-013,56.4861,-114.11751,Sans objet,2016-01-25T00:00:00,Incendie,Fermé,NOVA Gas Transmission Ltd.,Wabasca,Alberta,N'est pas applicable,N'est pas applicable,Construction,No,Non disponible,"Interférences extérieures,Erreur d’exploitation","Ingénierie et planification,Outils et équipement"
INC2016-010,57.42235949,-118.24922174,42.0000,2016-01-19T00:00:00,Déversement de substance,Fermé,NOVA Gas Transmission Ltd.,"Manning, Alberta",Alberta,Gaz Naturel - non sulfureux,Gaz,Entretien,Yes,Pipeline,Corrosion et fissuration,"Entretien,Outils et équipement"
INC2016-008,43.39419,-79.73732,Sans objet,2016-01-13T00:00:00,Exploitation au-delà des tolérances de fabrication,Fermé,Trans-Northern Pipelines Inc.,Oakville,Ontario,N'est pas applicable,N'est pas applicable,Exploitation,No,Non disponible,"Interférences extérieures,Erreur d’exploitation",Ingénierie et planification
INC2016-006,58.65324554,-122.68482307,2.9000,2016-01-06T00:00:00,Déversement de substance,Fermé,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Fort Nelson,Colombie-Britannique,Eau contaminée,Divers,Exploitation,Yes,Usine de traitement,Corrosion et fissuration,Entretien
INC2016-004,53.544151,-113.355103,Sans objet,2016-01-04T00:00:00,Exploitation au-delà des tolérances de fabrication,Fermé,Enbridge Pipelines Inc.,Edmonton,Alberta,N'est pas applicable,N'est pas applicable,Exploitation,Yes,Pompage,"Interférences extérieures,Erreur d’exploitation","Ingénierie et planification,Facteurs humains,Supervision insuffisante"
INC2016-003,53.54151,-113.353867,Sans objet,2016-01-02T00:00:00,Incendie,Fermé,Enbridge Pipelines Inc.,Sherwood Park,Alberta,N'est pas applicable,N'est pas applicable,Exploitation,Yes,Pompage,Interférences extérieures,Outils et équipement
INC2016-002,56.17397,-120.60927,72500.0000,2016-01-01T00:00:00,Déversement de substance,Fermé,Alliance Pipeline Ltd.,"Taylor, British Columbia",Colombie-Britannique,Gaz Naturel - non sulfureux,Gaz,Exploitation,Yes,Compression,Défaillance d’équipement,Entretien
INC2016-001,44.276915,-76.876379,1.2100,2016-01-01T00:00:00,Déversement de substance,Fermé,TransCanada PipeLines Limited,Kingston,Ontario,Gaz Naturel - non sulfureux,Gaz,Exploitation,Yes,Comptage,"Corrosion et fissuration,Interférences extérieures",Facteurs humains
INC2015-152,56.04405,-112.43548,Sans objet,2015-12-31T00:00:00,Incendie,Fermé,NOVA Gas Transmission Ltd.,Fort McMurray ,Alberta,N'est pas applicable,N'est pas applicable,Construction,No,Non disponible,Autres causes,Entretien
INC2015-150,56.146082,-120.673492,32.0000,2015-12-22T00:00:00,Déversement de substance,Fermé,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Taylor,Colombie-Britannique,Eau,Divers,Entretien,Yes,Usine de traitement,Erreur d’exploitation,"Facteurs humains,Normes et procédures"
INC2015-148,55.793649,-120.522161,Sans objet,2015-12-21T00:00:00,Incendie,Fermé,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Dawson Creek,Colombie-Britannique,N'est pas applicable,N'est pas applicable,Exploitation,No,Non disponible,Erreur d’exploitation,Facteurs humains
INC2015-147,55.04185986,-121.01875585,10.4000,2015-12-18T00:00:00,Déversement de substance,Fermé,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission","10.8 km south of Tumbler Ridge, BC",Colombie-Britannique,Gaz naturel - sulfureux,Gaz,Exploitation,No,Non disponible,Défaillance d’équipement,"Entretien,Normes et procédures"
INC2015-146,58.446355,-119.22343,Sans objet,2015-12-12T00:00:00,Exploitation au-delà des tolérances de fabrication,Fermé,NOVA Gas Transmission Ltd.,Rainbow Lake,Alberta,N'est pas applicable,N'est pas applicable,Exploitation,Yes,Pipeline,"Défaillance d’équipement,Interférences extérieures",Outils et équipement
INC2015-145,52.637564,-111.27924,Sans objet,2015-12-11T00:00:00,Exploitation au-delà des tolérances de fabrication,Fermé,Enbridge Pipelines Inc.,Hardisty AB,Alberta,N'est pas applicable,N'est pas applicable,Exploitation,No,Non disponible,Interférences extérieures,Ingénierie et planification
INC2015-144,49.72011504,-96.98386154,1.0000,2015-12-11T00:00:00,Déversement de substance,Fermé,TransCanada PipeLines Limited,Ile Des Chene,Manitoba,Gaz Naturel - non sulfureux,Gaz,Exploitation,Yes,Pipeline,"Corrosion et fissuration,Erreur d’exploitation","Problème de communication,Entretien"
INC2015-143,43.746944,-79.637222,Sans objet,2015-12-10T00:00:00,Incendie,Fermé,TransCanada PipeLines Limited,Brampton,Ontario,N'est pas applicable,N'est pas applicable,Construction,Yes,V&eacute;hicule / &eacute;quipement mobile,"Interférences extérieures,Erreur d’exploitation","Problème de communication,Facteurs humains,Supervision insuffisante,Entretien"
INC2015-142,55.9788,-111.98153,Sans objet,2015-12-05T00:00:00,Incendie,Fermé,NOVA Gas Transmission Ltd.,Fort McMurray,Alberta,N'est pas applicable,N'est pas applicable,Construction,No,Non disponible,Erreur d’exploitation,Facteurs humains
INC2015-141,56.0207,-112.18207,Sans objet,2015-12-04T00:00:00,Incendie,Fermé,NOVA Gas Transmission Ltd.,Fort McMurray,Alberta,N'est pas applicable,N'est pas applicable,Construction,Yes,V&eacute;hicule / &eacute;quipement mobile,"Interférences extérieures,Erreur d’exploitation",Entretien
INC2015-140,55.9773,-112.0273,Sans objet,2015-12-04T00:00:00,Incendie,Fermé,NOVA Gas Transmission Ltd.,Fort McMurray,Alberta,N'est pas applicable,N'est pas applicable,Construction,Yes,V&eacute;hicule / &eacute;quipement mobile,Autres causes,Entretien
INC2015-139,42.714906,-82.358961,0.3000,2015-12-01T00:00:00,Déversement de substance,Fermé,Plains Midstream Canada ULC,Wilkesport,Ontario,Propane,Gaz,Exploitation,Yes,Raclage,"Défectuosité et détérioration,Défaillance d’équipement",Entretien
INC2015-138,55.571824,-121.942698,2000.0000,2015-11-26T00:00:00,Déversement de substance,Fermé,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission","Chetwynd, BC",Colombie-Britannique,Amine,Divers,Exploitation,Yes,Usine de traitement,Erreur d’exploitation,"Ingénierie et planification,Normes et procédures"
INC2015-137,54.445071,-117.697381,Sans objet,2015-11-26T00:00:00,Incendie,Fermé,NOVA Gas Transmission Ltd.,Fox Creek,Alberta,N'est pas applicable,N'est pas applicable,Construction,Yes,V&eacute;hicule / &eacute;quipement mobile,"Défaillance d’équipement,Interférences extérieures","Facteurs humains,Entretien"
INC2015-136,55.56909171,-121.94466164,0.0750,2015-11-24T00:00:00,Déversement de substance,Fermé,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Hazler,Colombie-Britannique,Soufre,Divers,Exploitation,Yes,Usine de traitement,"Interférences extérieures,Erreur d’exploitation","Entretien,Normes et procédures"
INC2015-135,58.66,-122.69,58.0000,2015-11-23T00:00:00,Déversement de substance,Fermé,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Fort Nelson,Colombie-Britannique,Soufre,Divers,Exploitation,No,Non disponible,Erreur d’exploitation,"Problème de communication,Facteurs humains,Normes et procédures"
INC2015-133,56.393465,-121.3719,0.0010,2015-11-20T00:00:00,Déversement de substance,Fermé,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Wonowon BC,Colombie-Britannique,Gaz naturel - sulfureux,Gaz,Exploitation,No,Non disponible,Défaillance d’équipement,Entretien
INC2015-132,55.56909171,-121.94466164,770.0000,2015-11-17T00:00:00,Déversement de substance,Fermé,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Chetwynd,Colombie-Britannique,Sulfure d'hydrogène,Divers,Entretien,Yes,Usine de traitement,Erreur d’exploitation,Normes et procédures
INC2015-130,57.3,-111.68,Sans objet,2015-11-10T00:00:00,Effets environnementaux négatifs,Fermé,NOVA Gas Transmission Ltd.,Fort McKay,Alberta,N'est pas applicable,N'est pas applicable,Construction,No,Non disponible,"Interférences extérieures,Forces de la nature",Ingénierie et planification
INC2015-129,57.3,-111.68,Sans objet,2015-11-10T00:00:00,Effets environnementaux négatifs,Fermé,NOVA Gas Transmission Ltd.,Fort McKay,Alberta,N'est pas applicable,N'est pas applicable,Construction,No,Non disponible,Interférences extérieures,Ingénierie et planification
INC2015-128,57.34,-111.68,Sans objet,2015-11-10T00:00:00,Effets environnementaux négatifs,Fermé,NOVA Gas Transmission Ltd.,Fort McKay,Alberta,N'est pas applicable,N'est pas applicable,Construction,No,Non disponible,Interférences extérieures,Ingénierie et planification
INC2015-127,52.61406,-110.96464,14075.0000,2015-11-09T00:00:00,Déversement de substance,Fermé,NOVA Gas Transmission Ltd.,CFB Wainwright,Alberta,Gaz Naturel - non sulfureux,Gaz,Exploitation,Yes,Pipeline,Corrosion et fissuration,Entretien
INC2015-126,49.015601,-97.554021,Sans objet,2015-11-06T00:00:00,Exploitation au-delà des tolérances de fabrication,Fermé,Enbridge Pipelines Inc.,"Gretna, MB",Manitoba,N'est pas applicable,N'est pas applicable,Exploitation,No,Non disponible,Interférences extérieures,"Problème de communication,Normes et procédures"
INC2015-125,57.340222,-111.677683,Sans objet,2015-11-02T00:00:00,Effets environnementaux négatifs,Fermé,NOVA Gas Transmission Ltd.,Fort McKay ,Alberta,N'est pas applicable,N'est pas applicable,Construction,No,Non disponible,Interférences extérieures,Ingénierie et planification
INC2015-124,58.655,-122.6899,3.5270,2015-10-31T00:00:00,Déversement de substance,Soumis,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Fort Nelson,Colombie-Britannique,Carbonate de potassium,Divers,Exploitation,Yes,Usine de traitement,Corrosion et fissuration,"Ingénierie et planification,Problème de communication,Facteurs humains,Supervision insuffisante,Entretien,Normes et procédures"
INC2015-123,57.3426,-111.74337,1.0000,2015-10-29T00:00:00,Déversement de substance,Fermé,NOVA Gas Transmission Ltd.,Fort Mackay,Alberta,Gaz Naturel - non sulfureux,Gaz,Exploitation,No,Non disponible,Défectuosité et détérioration,Entretien
INC2015-122,50.481964,-104.568289,4.0000,2015-10-27T00:00:00,Déversement de substance,Fermé,Plains Midstream Canada ULC,Regina,Saskatchewan,Pétrole brut non sulfureux,Liquide,Entretien,No,Non disponible,"Interférences extérieures,Erreur d’exploitation","Ingénierie et planification,Problème de communication,Facteurs humains,Supervision insuffisante,Normes et procédures"
INC2015-121,54.830122,-118.645459,1.2200,2015-10-27T00:00:00,Déversement de substance,Fermé,NOVA Gas Transmission Ltd.,Grande Prairie,Alberta,Gaz Naturel - non sulfureux,Gaz,Exploitation,Yes,Compression,"Défaillance d’équipement,Interférences extérieures","Facteurs humains,Entretien"
INC2015-120,57.340222,-111.671137,Sans objet,2015-10-25T00:00:00,Effets environnementaux négatifs,Soumis,NOVA Gas Transmission Ltd.,Fort McKay,Alberta,N'est pas applicable,N'est pas applicable,Construction,No,Non disponible,Interférences extérieures,Ingénierie et planification
INC2015-119,50.362699,-104.045302,Sans objet,2015-10-21T00:00:00,Blessure grave (Office ou BST),Fermé,Enbridge Pipelines Inc.,"Vibank, Saskatchewan",Saskatchewan,N'est pas applicable,N'est pas applicable,Entretien,Yes,V&eacute;hicule / &eacute;quipement mobile,Erreur d’exploitation,Facteurs humains
INC2015-118,49.752443,-101.241633,30.0000,2015-10-16T00:00:00,Déversement de substance,Fermé,Enbridge Pipelines Inc.,"Cromer, MB",Manitoba,Pétrole brut non sulfureux,Liquide,Entretien,No,Non disponible,"Interférences extérieures,Erreur d’exploitation","Problème de communication,Facteurs humains,Supervision insuffisante"
INC2015-116,42.95261,-82.37433,Sans objet,2015-10-14T00:00:00,Incendie,Fermé,Enbridge Pipelines Inc.,Sarnia,Ontario,N'est pas applicable,N'est pas applicable,Entretien,No,Non disponible,Interférences extérieures,Entretien
INC2015-115,49.325059,-102.297403,1.0000,2015-10-09T00:00:00,Déversement de substance,Fermé,Alliance Pipeline Ltd.,"Alameda, Saskatchewan",Saskatchewan,Gaz Naturel - non sulfureux,Gaz,Exploitation,Yes,Compression,Interférences extérieures,Ingénierie et planification
INC2015-114,49.325059,-102.297403,1.0000,2015-10-01T00:00:00,Déversement de substance,Fermé,Alliance Pipeline Ltd.,"Alameda, Saskatchewan",Saskatchewan,Gaz Naturel - non sulfureux,Gaz,Exploitation,Yes,Compression,Erreur d’exploitation,Supervision insuffisante
INC2015-113,55.571,-121.94,32.6000,2015-09-29T00:00:00,Déversement de substance,Fermé,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission","Hasler BC , Chetwynd BC",Colombie-Britannique,Gaz naturel - sulfureux,Gaz,Exploitation,Yes,Usine de traitement,Corrosion et fissuration,Ingénierie et planification
INC2015-112,46.11317,-64.71534,0.0001,2015-09-24T00:00:00,Déversement de substance,Fermé,Maritimes & Northeast Pipeline Management Ltd.,"Moncton, NB",Nouveau-Brunswick,Odorisant,Divers,Exploitation,Yes,Comptage,Défaillance d’équipement,Entretien
