Incident Number,Incident Types,Reported Date,Nearest Populated Centre,Province,Company,Status,Latitude,Longitude,Pipeline Phase,Approximate Volume Released (m³),Substance,Release Type,Year,WhatHappened,WhyItHappened,Were Pipeline System Components Involved?,Pipeline System Components Involved
INC2010-149,Operation Beyond Design Limits,12/3/2010,Hardisty,Alberta,Enbridge Pipelines Inc.,Closed,52.63944722,-111.2781389,Operation,Not Applicable,Not Applicable,Not Applicable,2010,Equipment Failure,Engineering and Planning,1,Pumping Station
INC2010-150,Release of Substance,12/6/2010,Sundridge,Ontario,TransCanada PipeLines Limited,Closed,45.71830278,-79.4368138,Operation,Not Provided,Natural Gas - Sweet,Gas,2010,Equipment Failure,Maintenance,1,
INC2010-151,Operation Beyond Design Limits,12/8/2010,Fort Nelson,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,59.20186,-121.596498,Operation,Not Applicable,Not Applicable,Not Applicable,2010,Equipment Failure,Engineering and Planning,1,Pumping Station
INC2010-153,Release of Substance,12/10/2010,Regina,Saskatchewan,TransCanada PipeLines Limited,Closed,50.39316667,-104.4093611,Operation,2.8,Natural Gas - Sweet,Gas,2010,Defect & Deterioration,Engineering and Planning,1,Pipeline
INC2010-155,Release of Substance,12/13/2010,Jellicoe,Ontario,TransCanada PipeLines Limited,Closed,49.70361,-87.41084,Operation,Not Provided,Natural Gas - Sweet,Gas,2010,Equipment Failure,Maintenance,1,
INC2010-156,"Release of Substance,Adverse Environmental Effects",12/13/2010,Taylor,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,56.14630278,-120.6691694,Operation,Not Provided,Contaminated Water,Miscellaneous,2010,Other Causes,Maintenance,1,
INC2010-157,Release of Substance,12/15/2010,Dartmouth,Nova Scotia,Maritimes & Northeast Pipeline Management Ltd.,Closed,44.663897,-63.568182,Operation,1,Natural Gas - Sweet,Gas,2010,Equipment Failure,Maintenance,1,
INC2010-158,Fire,12/17/2010,Hardisty,Alberta,TransCanada Keystone Pipeline GP Ltd.,Closed,52.65486,-111.26462,Operation,Not Applicable,Not Applicable,Not Applicable,2010,"Equipment Failure,External Interference",Engineering and Planning,0,
INC2010-159,Release of Substance,12/17/2010,Fox Creek,Alberta,NOVA Gas Transmission Ltd.,Closed,54.50731,-116.44281,Operation,Not Provided,Natural Gas - Sweet,Gas,2010,Defect & Deterioration,Maintenance,1,
INC2010-164,Release of Substance,12/22/2010,Jarvie,Alberta,NOVA Gas Transmission Ltd.,Closed,54.65256,-114.52778,Operation,Not Provided,Natural Gas - Sweet,Gas,2010,Equipment Failure,Maintenance,1,
INC2010-165,Serious Injury (NEB or TSB),12/30/2010,Taylor,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Submitted,56.14652,-120.66907,Maintenance,Not Applicable,Not Applicable,Not Applicable,2010,To be determined,To be determined,0,
INC2010-167,Operation Beyond Design Limits,11/11/2010,Edmonton,Alberta,Enbridge Pipelines Inc.,Closed,53.547403,-113.355714,Operation,Not Applicable,Not Applicable,Not Applicable,2010,Equipment Failure,Human Factors,1,
INC2010-168,Operation Beyond Design Limits,11/11/2010,Edmonton,Alberta,Enbridge Pipelines Inc.,Closed,53.547403,-113.355714,Operation,Not Applicable,Not Applicable,Not Applicable,2010,Equipment Failure,Human Factors,1,
INC2010-169,Operation Beyond Design Limits,11/11/2010,Edmonton,Alberta,Enbridge Pipelines Inc.,Closed,53.547403,-113.355714,Operation,Not Applicable,Not Applicable,Not Applicable,2010,Equipment Failure,Human Factors,1,
INC2010-170,Operation Beyond Design Limits,11/11/2010,Edmonton,Alberta,Enbridge Pipelines Inc.,Closed,53.547403,-113.355714,Operation,Not Applicable,Not Applicable,Not Applicable,2010,Equipment Failure,Human Factors,1,
INC2010-171,Operation Beyond Design Limits,11/11/2010,Edmonton,Alberta,Enbridge Pipelines Inc.,Closed,53.547403,-113.355714,Operation,Not Applicable,Not Applicable,Not Applicable,2010,Equipment Failure,Human Factors,1,
INC2010-172,Operation Beyond Design Limits,11/11/2010,Edmonton,Alberta,Enbridge Pipelines Inc.,Closed,53.547403,-113.355714,Operation,Not Applicable,Not Applicable,Not Applicable,2010,Equipment Failure,Human Factors,1,
INC2010-173,Operation Beyond Design Limits,11/11/2010,Edmonton,Alberta,Enbridge Pipelines Inc.,Closed,53.547403,-113.355714,Operation,Not Applicable,Not Applicable,Not Applicable,2010,Equipment Failure,Human Factors,1,
INC2010-174,Operation Beyond Design Limits,11/11/2010,Edmonton,Alberta,Enbridge Pipelines Inc.,Closed,53.547403,-113.355714,Operation,Not Applicable,Not Applicable,Not Applicable,2010,Equipment Failure,Human Factors,1,
INC2010-175,Operation Beyond Design Limits,11/11/2010,Edmonton,Alberta,Enbridge Pipelines Inc.,Closed,53.547403,-113.355714,Operation,Not Applicable,Not Applicable,Not Applicable,2010,Equipment Failure,Human Factors,1,
INC2010-176,Operation Beyond Design Limits,11/11/2010,Edmonton,Alberta,Enbridge Pipelines Inc.,Closed,53.547403,-113.355714,Operation,Not Applicable,Not Applicable,Not Applicable,2010,Equipment Failure,Human Factors,1,
INC2010-177,Operation Beyond Design Limits,11/11/2010,Edmonton,Alberta,Enbridge Pipelines Inc.,Closed,53.547403,-113.355714,Operation,Not Applicable,Not Applicable,Not Applicable,2010,Equipment Failure,Human Factors,1,
INC2011-003,Fire,1/9/2011,Grande Prairie,Alberta,Alliance Pipeline Ltd.,Closed,54.5224,-118.10037,Operation,Not Applicable,Not Applicable,Not Applicable,2011,"External Interference,Incorrect Operation","Maintenance,Standards and Procedures",1,
INC2011-004,Release of Substance,1/13/2011,Marten River,Ontario,TransCanada PipeLines Limited,Closed,46.84822454,-79.8090245,Operation,192,Natural Gas - Sweet,Gas,2011,Equipment Failure,Maintenance,1,Pipeline
INC2011-007,Release of Substance,1/20/2011,Taylor,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,56.14641,-120.66907,Operation,4.2,Propane,Gas,2011,"Corrosion & Cracking,Equipment Failure,External Interference","Maintenance,Natural or Environmental Forces,Tools and Equipment",1,
INC2011-008,Release of Substance,1/21/2011,Bowmanville,Ontario,TransCanada PipeLines Limited,Closed,43.96,-78.81941,Operation,1000,Natural Gas - Sweet,Gas,2011,Equipment Failure,Maintenance,1,
INC2011-011,Release of Substance,1/31/2011,Slave Lake,Alberta,NOVA Gas Transmission Ltd.,Closed,55.57555,-113.87749,Operation,Not Provided,Natural Gas - Sweet,Gas,2011,Equipment Failure,Maintenance,1,
INC2011-012,Operation Beyond Design Limits,1/31/2011,Toronto,Ontario,Trans-Northern Pipelines Inc.,Closed,43.69257,-79.61074,Operation,Not Applicable,Not Applicable,Not Applicable,2011,Equipment Failure,Engineering and Planning,1,
INC2011-013,Release of Substance,2/2/2011,Taylor,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,56.14642,-120.66907,Maintenance,37,Propane,Gas,2011,Incorrect Operation,Human Factors,1,Pigging
INC2011-014,Fire,2/2/2011,Neutral Hills,Alberta,TransCanada Keystone Pipeline GP Ltd.,Closed,52.29321,-111.09081,Operation,Not Applicable,Not Applicable,Not Applicable,2011,Equipment Failure,Engineering and Planning,1,
INC2011-016,Release of Substance,2/3/2011,Monchy,Saskatchewan,Foothills Pipe Lines (Saskatchewan) Ltd.,Closed,49.017155,-107.831853,Operation,2,Natural Gas - Sweet,Gas,2011,Equipment Failure,Maintenance,1,
INC2011-017,Release of Substance,2/4/2011,Lincoln,New Brunswick,Maritimes & Northeast Pipeline Management Ltd.,Closed,45.88657778,-66.5511694,Operation,Not Provided,Natural Gas - Sweet,Gas,2011,Defect & Deterioration,Maintenance,1,
INC2011-018,Release of Substance,2/7/2011,Moncton,New Brunswick,Maritimes & Northeast Pipeline Management Ltd.,Closed,46.11307222,-64.7157694,Operation,Not Provided,Natural Gas - Sweet,Gas,2011,Other Causes,Maintenance,1,
INC2011-019,Fire,2/8/2011,Neutral Hills,Alberta,TransCanada Keystone Pipeline GP Ltd.,Closed,52.29334,-111.09092,Operation,Not Applicable,Not Applicable,Not Applicable,2011,Equipment Failure,"Maintenance,Standards and Procedures",1,
INC2011-026,Release of Substance,2/14/2011,North Bay,Ontario,TransCanada PipeLines Limited,Closed,46.37977,-79.46897,Operation,Not Provided,Natural Gas - Sweet,Gas,2011,Corrosion & Cracking,Standards and Procedures,1,
INC2011-027,Release of Substance,2/18/2011,Lincoln,New Brunswick,Maritimes & Northeast Pipeline Management Ltd.,Closed,45.887,-66.551169,Operation,Not Provided,Natural Gas - Sweet,Gas,2011,Equipment Failure,Maintenance,1,
INC2011-029,"Fire,Release of Substance",2/20/2011,Beardmore,Ontario,TransCanada PipeLines Limited,Closed,49.58894444,-87.9718889,Operation,2790000,Natural Gas - Sweet,Gas,2011,Corrosion & Cracking,Maintenance,1,
INC2011-030,Release of Substance,2/20/2011,Rainbow Lake,Alberta,NOVA Gas Transmission Ltd.,Closed,58.44721,-119.22429,Operation,Not Provided,Natural Gas - Sweet,Gas,2011,Equipment Failure,Engineering and Planning,1,
INC2011-032,Release of Substance,2/23/2011,Burnside,Nova Scotia,Maritimes & Northeast Pipeline Management Ltd.,Closed,45.3,-62.983333,Operation,3,Natural Gas - Sweet,Gas,2011,Equipment Failure,Maintenance,1,
INC2011-035,Fire,3/2/2011,Fort McMurray,Alberta,NOVA Gas Transmission Ltd.,Closed,57.25289,-111.05669,Operation,Not Applicable,Not Applicable,Not Applicable,2011,Incorrect Operation,"Human Factors,Inadequate Supervision",0,
INC2011-036,Release of Substance,3/2/2011,Hanna,Alberta,NOVA Gas Transmission Ltd.,Closed,52.36527,-113.08174,Operation,Not Provided,Natural Gas - Sweet,Gas,2011,Equipment Failure,Maintenance,1,
INC2011-038,Release of Substance,3/7/2011,Kamloops,British Columbia,Trans Mountain Pipeline ULC,Closed,50.66255,-120.41416,Operation,11,Waste Oil,Liquid,2011,Corrosion & Cracking,Maintenance,0,
INC2011-042,Release of Substance,3/13/2011,Rosebud,Alberta,NOVA Gas Transmission Ltd.,Closed,51.18869,-112.93903,Operation,Not Provided,Natural Gas - Sweet,Gas,2011,Defect & Deterioration,Maintenance,1,
INC2011-044,Release of Substance,3/17/2011,Ignace,Ontario,TransCanada PipeLines Limited,Closed,49.48823,-91.98782,Maintenance,Not Provided,Natural Gas - Sweet,Gas,2011,Corrosion & Cracking,Engineering and Planning,1,Pumping Station
INC2011-045,Release of Substance,3/18/2011,Ignace,Ontario,TransCanada PipeLines Limited,Closed,49.48823,-91.98782,Operation,Not Provided,Natural Gas - Sweet,Gas,2011,Corrosion & Cracking,Engineering and Planning,1,Pumping Station
INC2011-046,Release of Substance,3/21/2011,Fort Nelson,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,58.85595,-121.78287,Operation,Not Provided,Natural Gas - Sweet,Gas,2011,Corrosion & Cracking,Engineering and Planning,1,
INC2011-048,Release of Substance,3/24/2011,Regina,Saskatchewan,Alliance Pipeline Ltd.,Closed,49.9746,-103.6528,Operation,170,Natural Gas - Sweet,Gas,2011,Defect & Deterioration,Maintenance,1,
INC2011-053,Release of Substance,3/31/2011,Nipigon,Ontario,TransCanada PipeLines Limited,Closed,49.29513,-88.10109,Operation,1000,Natural Gas - Sweet,Gas,2011,Corrosion & Cracking,"Maintenance,Standards and Procedures",1,
INC2011-054,Fatality,4/1/2011,Grande Prairie,Alberta,NOVA Gas Transmission Ltd.,Closed,54.868241,-118.809763,Construction,Not Applicable,Not Applicable,Not Applicable,2011,Incorrect Operation,Human Factors,0,
INC2011-055,Release of Substance,4/1/2011,Tunis,Ontario,TransCanada PipeLines Limited,Closed,48.87166,-80.893589,Operation,Not Provided,Natural Gas - Sweet,Gas,2011,Corrosion & Cracking,Engineering and Planning,1,
INC2011-056,Release of Substance,4/3/2011,Burnside,Nova Scotia,Maritimes & Northeast Pipeline Management Ltd.,Closed,45.3,-62.98333,Operation,Not Provided,Natural Gas - Sweet,Gas,2011,Defect & Deterioration,Maintenance,1,
INC2011-058,"Release of Substance,Operation Beyond Design Limits",4/5/2011,Burnside,Nova Scotia,Maritimes & Northeast Pipeline Management Ltd.,Closed,45.3,-62.98333,Operation,Not Provided,Natural Gas - Sweet,Gas,2011,Defect & Deterioration,Maintenance,1,
INC2011-059,Release of Substance,4/6/2011,Hardisty,Alberta,Enbridge Pipelines Inc.,Closed,52.635343,-111.267485,Operation,Not Provided,Natural Gas Liquids,Gas,2011,Corrosion & Cracking,Maintenance,1,
INC2011-061,Release of Substance,4/14/2011,Cochrane,Ontario,TransCanada PipeLines Limited,Closed,49.10559503,-81.273875,Maintenance,Not Provided,Natural Gas - Sweet,Gas,2011,Defect & Deterioration,Standards and Procedures,1,
INC2011-063,Release of Substance,4/17/2011,Wabigoon,Ontario,TransCanada PipeLines Limited,Closed,49.72702,-92.58215,Operation,Not Provided,Natural Gas - Sweet,Gas,2011,Equipment Failure,Maintenance,1,
INC2011-064,Release of Substance,4/21/2011,Zama Lake,Alberta,NOVA Gas Transmission Ltd.,Closed,59.06394,-118.84693,Operation,Not Provided,Natural Gas - Sweet,Gas,2011,Equipment Failure,Engineering and Planning,1,
INC2011-065,Release of Substance,4/22/2011,Chip Lake,Alberta,Trans Mountain Pipeline ULC,Closed,53.60352778,-115.4963889,Operation,1.6,Crude Oil - Sweet,Liquid,2011,To be determined,To be determined,1,
INC2011-066,Release of Substance,4/26/2011,Chetwynd,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,55.28501,-121.65768,Operation,1300,Natural Gas - Sour,Gas,2011,Corrosion & Cracking,Standards and Procedures,1,
INC2011-067,Release of Substance,4/25/2011,Burstall,Saskatchewan,TransCanada PipeLines Limited,Closed,50.67651,-109.97872,Operation,Not Provided,Natural Gas - Sweet,Gas,2011,Defect & Deterioration,Engineering and Planning,1,Pipeline
INC2011-068,Fire,4/28/2011,Czar,Alberta,TransCanada Keystone Pipeline GP Ltd.,Closed,52.29327,-111.0907,Maintenance,Not Applicable,Not Applicable,Not Applicable,2011,Equipment Failure,"Maintenance,Standards and Procedures",1,
INC2011-070,Fire,5/3/2011,Hamilton,Ontario,TransCanada PipeLines Limited,Closed,43.25556,-79.87348,Operation,Not Applicable,Not Applicable,Not Applicable,2011,External Interference,Maintenance,1,
INC2011-071,Release of Substance,5/3/2011,Beardmore,Ontario,TransCanada PipeLines Limited,Closed,49.61136,-87.96157,Operation,50,Natural Gas - Sweet,Gas,2011,Corrosion & Cracking,Maintenance,1,Pipeline
INC2011-073,Release of Substance,5/7/2011,Edson,Alberta,NOVA Gas Transmission Ltd.,Closed,53.60098,-116.46762,Operation,10,Natural Gas - Sweet,Gas,2011,Natural Force Damage,Maintenance,1,
INC2011-074,Release of Substance,5/9/2011,Wrigley,Northwest Territories,Enbridge Pipelines (NW) Inc.,Closed,62.70880556,-123.079889,Operation,259,Crude Oil - Sweet,Liquid,2011,Incorrect Operation,Engineering and Planning,1,Pumping Station
INC2011-075,Release of Substance,5/12/2011,Terrebonne,Quebec,Enbridge Pipelines Inc.,Closed,45.72466,-73.69588,Maintenance,4,Crude Oil - Sweet,Liquid,2011,Incorrect Operation,Failure in communication,0,
INC2011-082,Serious Injury (NEB or TSB),5/18/2011,Fort Nelson,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,58.6533,-122.68493,Operation,Not Applicable,Not Applicable,Not Applicable,2011,Other Causes,Human Factors,0,
INC2011-085,Release of Substance,5/27/2011,Pincher Creek,Alberta,NOVA Gas Transmission Ltd.,Closed,49.30721,-114.015,Operation,2,Natural Gas - Sweet,Gas,2011,Corrosion & Cracking,Engineering and Planning,1,
INC2011-087,Release of Substance,6/5/2011,Niverville,Manitoba,TransCanada PipeLines Limited,Closed,49.58317,-97.0036,Operation,Not Provided,Natural Gas - Sweet,Gas,2011,Corrosion & Cracking,Maintenance,1,Pumping Station
INC2011-089,Release of Substance,6/6/2011,Saint John,New Brunswick,Emera Brunswick Pipeline Company Ltd.,Closed,45.30744,-66.04273,Operation,Not Provided,Natural Gas - Sweet,Gas,2011,Defect & Deterioration,Maintenance,1,Pigging
INC2011-090,Fatality,6/7/2011,Dawson Creek,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,55.81189,-120.86837,Construction,Not Applicable,Not Applicable,Not Applicable,2011,Incorrect Operation,Failure in communication,0,
INC2011-092,Release of Substance,6/9/2011,Taylor,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,56.14635,-120.66936,Operation,3.6,Natural Gas - Sour,Gas,2011,Equipment Failure,Engineering and Planning,1,
INC2011-094,Release of Substance,6/17/2011,Fort St. John,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,56.254,-120.716,Operation,0.0001,Natural Gas - Sweet,Gas,2011,Incorrect Operation,Maintenance,1,
INC2011-095,Operation Beyond Design Limits,6/21/2011,Hardisty,Alberta,TransCanada Keystone Pipeline GP Ltd.,Closed,52.64129,-111.2708,Maintenance,Not Applicable,Not Applicable,Not Applicable,2011,"Defect & Deterioration,Equipment Failure",Maintenance,1,
INC2011-099,Release of Substance,6/27/2011,Saint John,New Brunswick,Maritimes & Northeast Pipeline Management Ltd.,Closed,45.27811111,-66.0088056,Operation,Not Provided,Natural Gas - Sweet,Gas,2011,Defect & Deterioration,"Engineering and Planning,Maintenance",1,
INC2011-100,Release of Substance,6/27/2011,Lincoln,New Brunswick,Maritimes & Northeast Pipeline Management Ltd.,Closed,45.806186,-66.593942,Operation,Not Provided,Natural Gas - Sweet,Gas,2011,Defect & Deterioration,Maintenance,1,
INC2011-101,Release of Substance,6/27/2011,Fredericton,New Brunswick,Maritimes & Northeast Pipeline Management Ltd.,Closed,45.881317,-66.551169,Operation,Not Provided,Natural Gas - Sweet,Gas,2011,Defect & Deterioration,Maintenance,1,
INC2011-102,Release of Substance,6/27/2011,Gaspereau,New Brunswick,Maritimes & Northeast Pipeline Management Ltd.,Closed,47.590212,-64.959858,Operation,Not Provided,Natural Gas - Sweet,Gas,2011,Defect & Deterioration,Maintenance,1,
INC2011-104,Release of Substance,6/30/2011,Red Deer,Alberta,NOVA Gas Transmission Ltd.,Closed,52.24822,-113.61774,Operation,Not Provided,Natural Gas - Sweet,Gas,2011,External Interference,Maintenance,1,Pumping Station
INC2011-105,Fire,7/7/2011,Edson,Alberta,NOVA Gas Transmission Ltd.,Closed,53.96088,-116.46033,Operation,Not Applicable,Not Applicable,Not Applicable,2011,Equipment Failure,Maintenance,1,Pipeline
INC2011-106,Release of Substance,7/8/2011,Burstall,Saskatchewan,TransCanada PipeLines Limited,Closed,50.67653,-109.97885,Operation,Not Provided,Natural Gas - Sweet,Gas,2011,Defect & Deterioration,"Engineering and Planning,Maintenance",1,Pipeline
INC2011-109,Release of Substance,7/22/2011,Caledonia,Nova Scotia,Maritimes & Northeast Pipeline Management Ltd.,Closed,45.37514774,-62.452671,Operation,113,Natural Gas - Sweet,Gas,2011,Equipment Failure,Maintenance,1,
INC2011-114,Release of Substance,8/4/2011,Halifax,Nova Scotia,Maritimes & Northeast Pipeline Management Ltd.,Closed,44.648901,-63.575335,Operation,934,Natural Gas - Sweet,Gas,2011,Defect & Deterioration,Maintenance,1,
INC2011-115,Release of Substance,8/4/2011,Fredericton,New Brunswick,Maritimes & Northeast Pipeline Management Ltd.,Closed,45.45872,-67.02456,Construction,Not Provided,Natural Gas - Sweet,Gas,2011,Defect & Deterioration,Maintenance,1,
INC2011-116,Fire,8/4/2011,Herbert,Saskatchewan,TransCanada Keystone Pipeline GP Ltd.,Closed,50.53923,-107.30765,Construction,Not Applicable,Not Applicable,Not Applicable,2011,"External Interference,Incorrect Operation","Human Factors,Inadequate Supervision",0,
INC2011-119,Fire,8/6/2011,Consort,Alberta,TransCanada Keystone Pipeline GP Ltd.,Closed,51.92351,-110.63297,Construction,Not Applicable,Not Applicable,Not Applicable,2011,External Interference,Standards and Procedures,0,
INC2011-120,Fire,8/6/2011,Oyen,Alberta,TransCanada Keystone Pipeline GP Ltd.,Closed,51.42256,-110.54117,Construction,Not Applicable,Not Applicable,Not Applicable,2011,External Interference,Standards and Procedures,0,
INC2011-125,Fire,8/9/2011,Rapid City,Manitoba,TransCanada Keystone Pipeline GP Ltd.,Closed,50.0749,-100.00047,Operation,Not Applicable,Not Applicable,Not Applicable,2011,"Equipment Failure,External Interference",Maintenance,1,
INC2011-127,Release of Substance,8/16/2011,Meanook,Alberta,NOVA Gas Transmission Ltd.,Closed,54.46884,-113.21624,Operation,Not Provided,Natural Gas - Sweet,Gas,2011,Defect & Deterioration,Maintenance,1,
INC2011-129,Operation Beyond Design Limits,8/17/2011,Toronto,Ontario,Trans-Northern Pipelines Inc.,Closed,43.768426,-79.485336,Operation,Not Applicable,Not Applicable,Not Applicable,2011,External Interference,Tools and Equipment,1,
INC2011-131,Fire,8/21/2011,White City,Saskatchewan,TransCanada PipeLines Limited,Closed,50.39317,-104.40937,Maintenance,Not Applicable,Not Applicable,Not Applicable,2011,Equipment Failure,"Engineering and Planning,Maintenance",0,
INC2011-132,Fire,8/22/2011,Grande Prairie,Alberta,NOVA Gas Transmission Ltd.,Closed,55.12635,-117.83833,Operation,Not Applicable,Not Applicable,Not Applicable,2011,"External Interference,Incorrect Operation",Maintenance,1,
INC2011-133,Fire,8/23/2011,Manning,Alberta,NOVA Gas Transmission Ltd.,Closed,57.19241,-118.19542,Operation,Not Applicable,Not Applicable,Not Applicable,2011,"Equipment Failure,Incorrect Operation",Engineering and Planning,1,
INC2011-134,Fire,8/29/2011,White City,Saskatchewan,Enbridge Pipelines Inc.,Closed,50.44344,-104.35691,Construction,Not Applicable,Not Applicable,Not Applicable,2011,External Interference,Engineering and Planning,1,
INC2011-135,Release of Substance,8/31/2011,Grande Prairie,Alberta,NOVA Gas Transmission Ltd.,Closed,54.83012,-118.64715,Operation,Not Provided,Natural Gas - Sweet,Gas,2011,Corrosion & Cracking,Engineering and Planning,1,Pumping Station
INC2011-136,Serious Injury (NEB or TSB),9/1/2011,Huntsville,Ontario,TransCanada PipeLines Limited,Closed,45.51138,-79.31036,Construction,Not Applicable,Not Applicable,Not Applicable,2011,Incorrect Operation,"Inadequate Supervision,Maintenance,Tools and Equipment",0,
INC2011-138,Release of Substance,9/2/2011,Wabasca,Alberta,NOVA Gas Transmission Ltd.,Closed,55.84448,-113.89141,Operation,Not Provided,Natural Gas - Sweet,Gas,2011,Equipment Failure,Maintenance,1,
INC2011-141,Release of Substance,9/8/2011,Musquash,New Brunswick,Maritimes & Northeast Pipeline Management Ltd.,Closed,45.195347,-66.401993,Operation,Not Provided,Natural Gas - Sweet,Gas,2011,Defect & Deterioration,"Engineering and Planning,Maintenance",1,
INC2011-142,Release of Substance,9/9/2011,Albrights Corner,New Brunswick,Maritimes & Northeast Pipeline Management Ltd.,Closed,46.022695,-66.189817,Operation,Not Provided,Natural Gas - Sweet,Gas,2011,Defect & Deterioration,Maintenance,1,
INC2011-143,Release of Substance,9/9/2011,Noonan,New Brunswick,Maritimes & Northeast Pipeline Management Ltd.,Closed,45.963713,-66.52814,Operation,Not Provided,Natural Gas - Sweet,Gas,2011,Defect & Deterioration,Maintenance,1,
INC2011-146,Fire,9/10/2011,Grande Prairie,Alberta,NOVA Gas Transmission Ltd.,Closed,55.50563,-119.56184,Construction,Not Applicable,Not Applicable,Not Applicable,2011,Incorrect Operation,Human Factors,0,
INC2011-152,Release of Substance,9/20/2011,Grenfell,Saskatchewan,TransCanada PipeLines Limited,Closed,50.28587,-102.95155,Operation,Not Provided,Natural Gas - Sweet,Gas,2011,Defect & Deterioration,Maintenance,1,Pipeline
INC2011-153,Release of Substance,9/26/2011,Saint George,New Brunswick,Maritimes & Northeast Pipeline Management Ltd.,Closed,45.129009,-66.83136,Operation,Not Provided,Natural Gas - Sweet,Gas,2011,Equipment Failure,Maintenance,1,
INC2011-154,Release of Substance,9/28/2011,Grande Prairie,Alberta,NOVA Gas Transmission Ltd.,Closed,54.83025,-118.64722,Operation,Not Provided,Natural Gas - Sweet,Gas,2011,Defect & Deterioration,Maintenance,1,Pipeline
INC2011-155,Release of Substance,10/1/2011,Maple,Ontario,TransCanada PipeLines Limited,Closed,43.87391,-79.58006,Operation,Not Provided,Natural Gas - Sweet,Gas,2011,Incorrect Operation,Human Factors,1,
INC2011-157,Fatality,10/12/2011,Sarnia,Ontario,Niagara Gas Transmission Limited,Closed,42.97508,-82.40654,Maintenance,Not Applicable,Not Applicable,Not Applicable,2011,"External Interference,Incorrect Operation","Human Factors,Standards and Procedures,Tools and Equipment",0,
INC2011-158,Release of Substance,10/13/2011,Tulita,Northwest Territories,Enbridge Pipelines (NW) Inc.,Closed,64.65833,-124.83612,Operation,0.0005,Propane,Gas,2011,Equipment Failure,Maintenance,0,
INC2011-160,Operation Beyond Design Limits,10/14/2011,Windsor,Ontario,Ethane Shippers Joint Venture,Closed,42.280509,-83.077658,Operation,Not Applicable,Not Applicable,Not Applicable,2011,External Interference,"Human Factors,Maintenance,Standards and Procedures,Tools and Equipment",1,
INC2011-162,Release of Substance,10/19/2011,Wrigley,Northwest Territories,Enbridge Pipelines (NW) Inc.,Closed,63.87793,-123.98697,Operation,Not Provided,Mixed HVP Hydrocarbons,Gas,2011,Equipment Failure,Standards and Procedures,0,
INC2011-163,Release of Substance,10/19/2011,Wrigley,Northwest Territories,Enbridge Pipelines (NW) Inc.,Closed,63.261177,-123.402616,Maintenance,0.001,Propane,Gas,2011,Equipment Failure,Maintenance,1,
INC2011-165,Fire,10/24/2011,Regina,Saskatchewan,Enbridge Pipelines Inc.,Closed,50.25906,-103.70813,Maintenance,Not Applicable,Not Applicable,Not Applicable,2011,External Interference,Standards and Procedures,0,
INC2011-166,Release of Substance,10/26/2011,Rosemary,Alberta,NOVA Gas Transmission Ltd.,Closed,50.90519,-112.10804,Operation,Not Provided,Natural Gas - Sweet,Gas,2011,Equipment Failure,Maintenance,1,
INC2011-167,Fire,10/31/2011,Hearst,Ontario,TransCanada PipeLines Limited,Submitted,49.67061,-83.65592,Maintenance,Not Applicable,Not Applicable,Not Applicable,2011,To be determined,To be determined,0,
INC2011-168,Fire,11/4/2011,Yahk,British Columbia,Foothills Pipe Lines Ltd.,Closed,49.07839,-116.10601,Operation,Not Applicable,Not Applicable,Not Applicable,2011,Defect & Deterioration,"Maintenance,Standards and Procedures",1,
INC2011-171,Release of Substance,11/20/2011,Whitecourt,Alberta,NOVA Gas Transmission Ltd.,Closed,54.14314,-115.36091,Operation,50,Natural Gas - Sweet,Gas,2011,Equipment Failure,Engineering and Planning,1,
INC2011-172,Release of Substance,11/20/2011,Donnelly,Alberta,NOVA Gas Transmission Ltd.,Closed,55.72877,-117.08296,Operation,Not Provided,Natural Gas - Sweet,Gas,2011,Equipment Failure,Maintenance,1,
INC2011-173,Release of Substance,11/21/2011,Calstock,Ontario,TransCanada PipeLines Limited,Closed,49.74457,-84.06787,Operation,4,Natural Gas - Sweet,Gas,2011,Defect & Deterioration,Maintenance,1,Pipeline
INC2011-174,Fire,11/21/2011,Maple,Ontario,TransCanada PipeLines Limited,Closed,43.87374,-79.57983,Operation,Not Applicable,Not Applicable,Not Applicable,2011,"Equipment Failure,External Interference,Incorrect Operation",Maintenance,1,Pipeline
INC2011-175,Operation Beyond Design Limits,11/24/2011,Portage La Prairie,Manitoba,TransCanada Keystone Pipeline GP Ltd.,Closed,49.91197,-98.51779,Construction,Not Applicable,Not Applicable,Not Applicable,2011,To be determined,To be determined,0,
